Title,Link
"(A-D) Nodal disease. Right upper paratracheal nodes-N3 (arrow, 7A)...",https://openi.nlm.nih.gov//imgs/512/400/4419420/PMC4419420_IJRI-25-109-g007.png
<b>Lung cancers</b> positive for EGFR mutation are sensitive to...,https://openi.nlm.nih.gov//imgs/512/285/4823112/PMC4823112_oncotarget-07-3367-g001.png
"The model of ATM activation promoting <b>lung cancer</b> metastasisATM,...",https://openi.nlm.nih.gov//imgs/512/273/5308711/PMC5308711_oncotarget-07-62070-g008.png
Case 2: (A) CT scan showing the <b>lung</b> after...,https://openi.nlm.nih.gov//imgs/512/23/4301550/PMC4301550_OL-09-02-0604-g01.png
CT scan showing bilateral adrenal enlargement consistent with <b>lung...,https://openi.nlm.nih.gov//imgs/512/388/1821329/PMC1821329_1477-7819-5-27-1.png
Computerized tomography of the chest showing pleural effusion and...,https://openi.nlm.nih.gov//imgs/512/193/3981321/PMC3981321_cp-2012-3-e62-g003.png
Display of CT-image. The arrow indicates the non-small cell...,https://openi.nlm.nih.gov//imgs/512/37/2614958/PMC2614958_1476-7120-6-60-2.png
Computed tomography (CT) scan showing parenchymal opacity in the...,https://openi.nlm.nih.gov//imgs/512/75/3018402/PMC3018402_1752-1947-4-408-2.png
Computed tomography at the time of initial diagnosis. A)...,https://openi.nlm.nih.gov//imgs/512/179/4228323/PMC4228323_1471-2407-13-529-1.png
Example of a <b>pulmonary</b> nodule needing further evaluation that...,https://openi.nlm.nih.gov//imgs/512/111/3431468/PMC3431468_330_2012_2437_Fig3_HTML.png
Asymptomatic male smoker with a 12-mm ill-defined nodule posterior...,https://openi.nlm.nih.gov//imgs/512/26/3266572/PMC3266572_ci11901901.png
"T4 squamous cell <b>lung cancer</b> with gross, direct mediastinal...",https://openi.nlm.nih.gov//imgs/512/124/2072091/PMC2072091_ci07002604.png
Orthgonal thick slab maximum intensity projection (MIP) images demonstrating...,https://openi.nlm.nih.gov//imgs/512/159/3317632/PMC3317632_pone.0034496.g004.png
<b>Lung tumor</b> infiltrating one of the bronchi and bleeding...,https://openi.nlm.nih.gov//imgs/512/151/3699777/PMC3699777_WIITM-8-20339-g001.png
Example of a five-beam radiotherapy plan for a patient...,https://openi.nlm.nih.gov//imgs/512/393/4355654/PMC4355654_WO-18-23780-g003.png
CT scan 3 months after stopping crizotinib therapy. (A)...,https://openi.nlm.nih.gov//imgs/512/36/4996897/PMC4996897_gr3.png
Assessing <b>lung tumors</b> for gene mutations could help guide...,https://openi.nlm.nih.gov//imgs/512/251/545210/PMC545210_pmed.0020021.g001.png
A contrast-enhanced chest CT shows a nodular mass in...,https://openi.nlm.nih.gov//imgs/512/345/3923328/PMC3923328_2052-4374-25-16-1.png
Shows a typical patient status postcryoablation procedure. The precontrast...,https://openi.nlm.nih.gov//imgs/512/87/4620810/PMC4620810_medi-94-e1672-g004.png
A shadow in the right upper lobe (<b>Lung</b> CT)....,https://openi.nlm.nih.gov//imgs/512/123/4004509/PMC4004509_1477-7819-12-119-2.png
PS-annexin V imaging (North American Scientific 2020 - Phase...,https://openi.nlm.nih.gov//imgs/512/131/3251038/PMC3251038_2191-219X-1-17-5.png
CT scan showing right hilar lymphadenopathy....,https://openi.nlm.nih.gov//imgs/512/236/2585082/PMC2585082_1757-1626-1-278-1.png
Computed tomography showed a round lesion 1 cm in...,https://openi.nlm.nih.gov//imgs/512/164/4745598/PMC4745598_cp-2015-4-819-g001.png
Head CT scan showing multiple brain metastases left breast...,https://openi.nlm.nih.gov//imgs/512/178/4378697/PMC4378697_CRIPU2015-136970.009.png
"Probable overdiagnosisAn 80 year old woman, former smoker, with...",https://openi.nlm.nih.gov//imgs/512/384/3616602/PMC3616602_medrep-05-12-g002.png
CT scan of the thorax demonstrating necrotic paratracheal node....,https://openi.nlm.nih.gov//imgs/512/303/5030447/PMC5030447_CRIOT2016-2868190.001.png
Right hilar mass noted with multiple <b>pulmonary</b> nodules scattered...,https://openi.nlm.nih.gov//imgs/512/265/3036637/PMC3036637_1752-1947-5-19-1.png
"Multiple hypodensities noted in the liver, and an isolated...",https://openi.nlm.nih.gov//imgs/512/265/3036637/PMC3036637_1752-1947-5-19-2.png
"A 85-year-old woman with adenocarcinoma. A, Preradiotherapeutic thin-section CT...",https://openi.nlm.nih.gov//imgs/512/325/3213137/PMC3213137_1748-717X-6-137-4.png
Chest CT shows a mass surrounding the left upper...,https://openi.nlm.nih.gov//imgs/512/297/3110854/PMC3110854_kjim-26-207-g003.png
Chest CT scan. Primary <b>lung cancer</b> in the left...,https://openi.nlm.nih.gov//imgs/512/8/4386146/PMC4386146_cro-0008-0164-g02.png
CT scan during crizotinib therapy. (A) Significant decrease in...,https://openi.nlm.nih.gov//imgs/512/36/4996897/PMC4996897_gr2.png
CT showed a mass shadow measuring 30 mm in...,https://openi.nlm.nih.gov//imgs/512/350/3207949/PMC3207949_1749-8090-6-132-2.png
"CT image. A nodular shadow, 10 mm in diameter,...",https://openi.nlm.nih.gov//imgs/512/172/3198949/PMC3198949_1477-7819-9-124-1.png
Chest X-ray. This is a posteroanterior chest X-ray taken...,https://openi.nlm.nih.gov//imgs/512/225/3568724/PMC3568724_1752-1947-7-28-2.png
Chest computed tomography scan with contrast showing a left...,https://openi.nlm.nih.gov//imgs/512/141/5340659/PMC5340659_CG-CGCR160169F001.png
A 46‐year‐old male treated with highly active antiretroviral therapy...,https://openi.nlm.nih.gov//imgs/512/376/5415480/PMC5415480_TCA-8-238-g001.png
Non small cell <b>lung cancer</b> in the left parahilar...,https://openi.nlm.nih.gov//imgs/512/94/2892507/PMC2892507_1752-1947-4-174-1.png
"CT of the chest reveals cortical lucency, expansile destruction,...",https://openi.nlm.nih.gov//imgs/512/220/2533337/PMC2533337_1746-1340-16-8-4.png
Chest HRCT of patient A: increasing opacity in the...,https://openi.nlm.nih.gov//imgs/512/243/3920419/PMC3920419_gr1.png
A 74-year-old female with encasement and compression of the...,https://openi.nlm.nih.gov//imgs/512/93/2797469/PMC2797469_ci09903102.png
Computed tomography (CT) image of our patient's brain on...,https://openi.nlm.nih.gov//imgs/512/75/3018402/PMC3018402_1752-1947-4-408-3.png
Computed tomography image of the mediastinal mass intermingled with...,https://openi.nlm.nih.gov//imgs/512/394/4597458/PMC4597458_13256_2015_707_Fig1_HTML.png
Computed tomography image of subcarinal lymphadenopathy...,https://openi.nlm.nih.gov//imgs/512/394/4597458/PMC4597458_13256_2015_707_Fig2_HTML.png
Computed tomography image of the thyroid gland and right...,https://openi.nlm.nih.gov//imgs/512/394/4597458/PMC4597458_13256_2015_707_Fig5_HTML.png
An axial section of a computed tomography scan showing...,https://openi.nlm.nih.gov//imgs/512/343/3637413/PMC3637413_1752-1947-7-98-2.png
Spiral CT of the <b>lung</b> in asymptomatic smoker shows...,https://openi.nlm.nih.gov//imgs/512/385/1458421/PMC1458421_ci04007003.png
CT scan of chest demonstrating primary <b>lung tumour</b> in...,https://openi.nlm.nih.gov//imgs/512/240/3649340/PMC3649340_jscr-2011-12-5fig4.png
CT scan of the chest showing a <b>tumor</b> mass...,https://openi.nlm.nih.gov//imgs/512/158/4432812/PMC4432812_PAMJ-20-22-g001.png
CT scan of the abdomen showing a solid <b>tumor</b>...,https://openi.nlm.nih.gov//imgs/512/158/4432812/PMC4432812_PAMJ-20-22-g004.png
Evaluation after 2 cycles of chemotherapy with a CT...,https://openi.nlm.nih.gov//imgs/512/158/4432812/PMC4432812_PAMJ-20-22-g005.png
CT scan of a 62 years non-smoker female showing...,https://openi.nlm.nih.gov//imgs/512/129/3876596/PMC3876596_SAJC-1-36-g003.png
CT scanning of chest showing a <b>lung cancer</b> of...,https://openi.nlm.nih.gov//imgs/512/314/3350268/PMC3350268_CRIM.SURGERY2011-902062.001.png
Axial CT scan before crizotinib therapy. (A) Right <b>lung...,https://openi.nlm.nih.gov//imgs/512/36/4996897/PMC4996897_gr1.png
CT scan of the patient with moderately differentiated adenocarcinoma...,https://openi.nlm.nih.gov//imgs/512/223/3784059/PMC3784059_280_2013_2271_Fig3_HTML.png
Axial isodose distributions for a planar permanent 125Iparaspinal implant....,https://openi.nlm.nih.gov//imgs/512/152/4643732/PMC4643732_JCB-7-25723-g008.png
CT scan of a 69-years-old male with IPF and...,https://openi.nlm.nih.gov//imgs/512/352/3414065/PMC3414065_PM2012-315918.001.png
CT scan of a 72-years-old male with IPF and...,https://openi.nlm.nih.gov//imgs/512/352/3414065/PMC3414065_PM2012-315918.002.png
"Peripheral <b>lung cancer</b>, sagittal reconstruction. Well-defined mass with lobular...",https://openi.nlm.nih.gov//imgs/512/374/4102604/PMC4102604_poljradiol-79-203-g008.png
Enhanced computed tomography of the chest showed a 60-mm...,https://openi.nlm.nih.gov//imgs/512/342/4827179/PMC4827179_13019_2016_440_Fig2_HTML.png
Case 1: (A) CT scan showing a lesion in...,https://openi.nlm.nih.gov//imgs/512/23/4301550/PMC4301550_OL-09-02-0604-g00.png
A 72-year-old woman with a paralyzed left vocal cord....,https://openi.nlm.nih.gov//imgs/512/63/3159943/PMC3159943_ymj-52-831-g001.png
Anisotropic YM obtained based on 4DCT scan dataset and...,https://openi.nlm.nih.gov//imgs/512/195/3539421/PMC3539421_IJBI2012-350853.006.png
Chest CT scan: Rt upper lobe density....,https://openi.nlm.nih.gov//imgs/512/178/4378697/PMC4378697_CRIPU2015-136970.004.png
Pretreatment computed tomography of the thorax demonstrating a large...,https://openi.nlm.nih.gov//imgs/512/50/3321533/PMC3321533_CRIM2012-754231.002.png
Chest computed tomography imaging on admission showed the primary...,https://openi.nlm.nih.gov//imgs/512/263/3443650/PMC3443650_1752-1947-6-279-2.png
CT images showing pneumonia-like consolidation (homogenous opacity) characterized by...,https://openi.nlm.nih.gov//imgs/512/398/4554154/PMC4554154_medi-94-e540-g001.png
Chest CT without contrast: <b>pulmonary</b> nodules of varying sizes...,https://openi.nlm.nih.gov//imgs/512/363/4180387/PMC4180387_CRIONM2014-858265.001.png
Chest computed tomography shows a mass lesion of 32...,https://openi.nlm.nih.gov//imgs/512/340/4571740/PMC4571740_rcr20003-0105-f1.png
Human liver metastasis recapitulates the salient features of metastasis...,https://openi.nlm.nih.gov//imgs/512/215/2696940/PMC2696940_pone.0006029.g007.png
"Patient with proven <b>lung cancer</b>, with CT demonstrating direct...",https://openi.nlm.nih.gov//imgs/512/208/1828367/PMC1828367_ci07000506.png
CT scan of the brain after irradiation...,https://openi.nlm.nih.gov//imgs/512/171/5346303/PMC5346303_mehdiophth-5-132-g001.png
"Chest computed tomography revealed a mass lesion, 36 mm...",https://openi.nlm.nih.gov//imgs/512/398/5293598/PMC5293598_RCR2-5-0-g001.png
"Representative coronal slices for OSEM, PSFallpass and PSFEANM reconstructions...",https://openi.nlm.nih.gov//imgs/512/239/3679414/PMC3679414_259_2013_2391_Fig4_HTML.png
Atypical thymoma in a 55-year-old woman with recurrent <b>lung...,https://openi.nlm.nih.gov//imgs/512/286/1665238/PMC1665238_ci05013908.png
