Title,Link
Figure 1: gross pathology - squamous cell carcinoma,https://prod-images-static.radiopaedia.org/images/382214/a280a19796be7dc5ae90deec5887b7_thumb.jpg
Case 1,https://prod-images-static.radiopaedia.org/images/24266527/bcb3b224c9f598ae52385cf906b5ff_thumb.jpeg
Figure 2: gross specimen,https://prod-images-static.radiopaedia.org/images/29832145/e4f20415745f4a485f52eb625e93a7_thumb.jpeg
Case 2: squamous cell carcinoma,https://prod-images-static.radiopaedia.org/images/270187/0f227b6f72d14b90c37c325177c965_thumb.jpg
Case 3,https://prod-images-static.radiopaedia.org/images/5591928/a321f430351f3b5cc8916ff9e50e58_thumb.jpg
Case 4: cavitating,https://prod-images-static.radiopaedia.org/images/21555830/31e9953990df718ce702d25cb18a19_thumb.jpeg
Case 5,https://prod-images-static.radiopaedia.org/images/344667/a1132897bb46f12930a5b9a4d8943f_thumb.jpg
Case 6: with SVC obstruction,https://prod-images-static.radiopaedia.org/images/25356/c5571faacc498394036ab6413b89bd_thumb.jpeg
Case 7: hilar cancer,https://prod-images-static.radiopaedia.org/images/27422175/219ad938e9c990af7df415ffa154b9_thumb.jpeg
Case 8: with RUL collapase,https://prod-images-static.radiopaedia.org/images/7068562/23de80c54f337800658e905969229d_thumb.jpg
Case 9,https://prod-images-static.radiopaedia.org/images/172052/cb38ae5f91be2e045684bcd5528326_thumb.jpg
Case 10,https://prod-images-static.radiopaedia.org/images/175241/9aa9ac57c144b3bcab7d6d41057e79_thumb.jpg
Case 11: CT,https://prod-images-static.radiopaedia.org/images/391704/aefdf40114812abda4e2b3714cdde3_thumb.jpg
Case 12: undifferentiated large cell carcinoma,https://prod-images-static.radiopaedia.org/images/449601/6fde394454fd65481a54db0701d53e_thumb.jpg
Case 13: with associated pulmonary embolism ,https://prod-images-static.radiopaedia.org/images/378292/e0172350ddfc8b56da993f70f1a970_thumb.jpg
Case 14,https://prod-images-static.radiopaedia.org/images/537020/1be1e5e7258315884acc068a8fc232_thumb.jpg
Case 15: squamous cell carcinoma,https://prod-images-static.radiopaedia.org/images/1392669/de6585359d7a2ea73328d430725510_thumb.jpg
Case 16: CT,https://prod-images-static.radiopaedia.org/images/1402486/65b4e4ec35995d4ca1527bed542476_thumb.jpg
 Case 17,https://prod-images-static.radiopaedia.org/images/1642938/b05ff6dbf1a648801ba86fdd5f4efb_thumb.jpg
 Case 18,https://prod-images-static.radiopaedia.org/images/1669525/e12fd473015b741236b0c6f9ce8686_thumb.jpg
 Case 19,https://prod-images-static.radiopaedia.org/images/1671639/839daba82efd1756ac2332e792a38b_thumb.jpg
Case 20,https://prod-images-static.radiopaedia.org/images/1983800/4790c437df97f781ddc678dd10dc51_thumb.jpg
Case 21,https://prod-images-static.radiopaedia.org/images/2862824/ae86e2457cd192f3597591b365e0ed_thumb.jpg
Case 23,https://prod-images-static.radiopaedia.org/images/5995956/2ccb996dff764a879b653a02111d72_thumb.jpg
Case 24,https://prod-images-static.radiopaedia.org/images/6786363/15cf2b61ce67ca7203ee36be917a85_thumb.jpg
Case 25: causing phrenic nerve palsy,https://prod-images-static.radiopaedia.org/images/51984818/867a236efe5b56bc53e4ac4c79782c_thumb.jpeg
Case 26: bronchoscopic lung biopsy,https://prod-images-static.radiopaedia.org/images/52814187/cf1565802f577c5b25dd7c949b4f32_thumb.jpeg
Case 27: small cell lung cancer metastasis to the brain,https://prod-images-static.radiopaedia.org/images/53649877/002_thumb.jpeg
Case 22,https://prod-images-static.radiopaedia.org/images/3085283/07f86b9772793319833f53d168d097_thumb.jpg
Pulmonary metastases,https://prod-images-static.radiopaedia.org/images/28823/0316ba5d7e9c1680b0e8327e5f788e_thumb.jpg
Pulmonary tuberculosis,https://prod-images-static.radiopaedia.org/images/131423/fdd852f70a9dfb199387a480f54d7c_thumb.jpg
Pulmonary arteriovenous malformation,https://prod-images-static.radiopaedia.org/images/31137/8d5495f6623360ff913cb07b2e68bb_thumb.jpg
Pulmonary hamartoma,https://prod-images-static.radiopaedia.org/images/53718086/IMAGE_026-216_thumb.jpeg
